entrez_id,corr_cnv_mrna,pval_cnv_mrna,corr_mrna_prot,pval_mrna_prot,corr_cnv_prot,pval_cnv_prot,n_samples_cnv_mrna,n_samples_mrna_prot,n_samples_cnv_prot,gene_symbol,category
4629,-0.04480516996042639,0.19346756890793312,0.5076288137675208,1.7753776308499889e-56,-0.01880877837232691,0.5852962271205292,844,844,844,MYH11,transcriptional_discordant
4718,0.6219309516879314,1.6813897911139512e-91,0.04159217162602913,0.23216547120660797,-0.013636773144699245,0.695364118254067,844,827,827,NDUFB4,post_transcriptional_discordant
472,0.20752698058449898,1.154395220366237e-09,0.25008913583896913,1.6783254944578913e-13,0.22515107942269957,3.679082860451523e-11,844,844,844,ATM,intermediate
4771,0.42454177315828434,2.9647670986916963e-38,0.3626267799084413,1.2555637247559173e-27,0.31267310157107153,1.346256341695461e-20,844,844,844,NF2,concordant
4851,0.03965472353852102,0.24982212226613912,0.40511158828804694,1.1287571802410766e-34,0.05902038855445486,0.08660329916251851,844,844,844,NOTCH1,transcriptional_discordant
4854,0.2826219817848508,5.776835032405796e-17,0.2202073868739277,1.5355349816280798e-10,0.10660036525484348,0.0021428439653217095,844,827,827,NOTCH3,intermediate
4893,0.29783207125959776,9.47751873540934e-19,0.01894998640142346,0.5824823805827649,0.1106258581812567,0.0012864358831318075,844,844,844,NRAS,intermediate
4904,0.4508521538382613,1.7205428894749474e-43,0.013575065599467431,0.6937197761640587,0.04462786188121888,0.19523809579863774,844,844,844,YBX1,post_transcriptional_discordant
498,0.4172028495827744,7.113972282071578e-37,0.07068038594753273,0.04214694486753864,0.03729151672105907,0.28409509619373885,844,827,827,ATP5F1A,post_transcriptional_discordant
5033,0.28834112048582566,1.2682413032381051e-17,0.08547088947868857,0.013943291079301359,0.05315696869673211,0.12665285738723078,844,827,827,PAICS,intermediate
5052,0.3528572977210084,3.7680935290765596e-26,0.4635196477714722,3.517043094063294e-46,0.19302209063530468,1.5809038800175414e-08,844,844,844,PRDX1,concordant
5054,0.003464316122630394,0.9199510835720269,0.32785728672204123,1.3406855792916713e-22,0.051533092969416036,0.13468022960177528,844,844,844,SERPINE1,transcriptional_discordant
